# JMP-table dispatch audit
# total sites: 456
#
# Summary:
#   static_target            245  (JMP with statically resolved target — safe)
#   in_function_switch       144  (JMP(PC,Dn.W) compiled to in-function switch+goto — safe, this is the Duff's-device fix)
#   dynamic_register           8  (JMP (An)/(d,An)/(An,Xn) — runtime address from register, safe via call_by_address)
#   fallback_hybrid                — JMP(PC,Dn.W) routed through hybrid_jmp_interpret; subdivided:
#     function_entry           5    (base IS a registered function — call_by_address resolves it directly)
#     bra_w_trampoline         0    (base opcode = 0x6000; runtime miss feedback works)
#     offset_table            49    (base is a dc.w (target-base) table; 1+ entries decode to functions — runtime resolves it)
#     INTERIOR_UNRESOLVED      5    (DANGER: base is interior to a function, NOT one of the safe patterns above — silent failure class like pre-fix CPZ)
#     external_unresolved      0    (base outside any known function — investigate)
#   unsupported                0  (decoder hit a JMP mode the emitter doesn't handle)
#
# When `interior_unresolved` is non-zero, inspect each site — these are
# Sonic-2-CPZ-style silent-failure candidates. Either the recompiler's
# Duff's-device probe (probe_pc_idx_targets) didn't match, or the table
# really is a new pattern that needs new codegen support.
#
# Format: <jmp_addr>  in func <func>  base <base>  kind=<kind>[ targets=N]

$00054C  in func $000536  base $000550  kind=fallback_hybrid/offset_table
$0005AE  in func $000566  base $0013C4  kind=static_target
$0007CA  in func $000636  base $0045E6  kind=static_target
$00087E  in func $0007EA  base $000AD4  kind=static_target
$000A1A  in func $0009E4  base $000AD4  kind=static_target
$000A26  in func $0009E4  base $000AD4  kind=static_target
$0013A2  in func $001394  base $000000  kind=dynamic_register
$0013D2  in func $0013C4  base $000000  kind=dynamic_register
$00179E  in func $001792  base $0017DE  kind=static_target
$0018FC  in func $0018EC  base $0017DE  kind=static_target
$001912  in func $001902  base $0017DE  kind=static_target
$001928  in func $001918  base $0017DE  kind=static_target
$00193E  in func $00192E  base $0017DE  kind=static_target
$0023C8  in func $0023B6  base $000000  kind=dynamic_register
$003AB4  in func $003A70  base $003ACE  kind=static_target
$003F0C  in func $003EFE  base $003F10  kind=fallback_hybrid/offset_table
$00461E  in func $004612  base $000000  kind=dynamic_register
$004A5E  in func $004A42  base $00608C  kind=static_target
$004A72  in func $004A64  base $001ACE  kind=static_target
$004C02  in func $004C02  base $004C06  kind=fallback_hybrid/offset_table
$005326  in func $005318  base $000000  kind=dynamic_register
$0054EA  in func $0054E2  base $00562E  kind=static_target
$0054F0  in func $0054E2  base $0056A0  kind=static_target
$005626  in func $0055EE  base $005F76  kind=static_target
$005B7E  in func $005A9C  base $000000  kind=dynamic_register
$005C04  in func $005BEE  base $005194  kind=static_target
$006324  in func $0062DA  base $00192E  kind=static_target
$0065FE  in func $0065F4  base $006602  kind=in_function_switch targets=6
$006740  in func $00673A  base $012556  kind=static_target
$0068B6  in func $0068B6  base $0068BA  kind=fallback_hybrid/function_entry
$007CB6  in func $007CAC  base $007CBA  kind=fallback_hybrid/offset_table
$007D08  in func $007CC2  base $0299E4  kind=static_target
$007DB6  in func $007D7E  base $029A3E  kind=static_target
$007E48  in func $007E48  base $007E4C  kind=fallback_hybrid/offset_table
$00C748  in func $00C73A  base $00C74C  kind=fallback_hybrid/offset_table
$00C82E  in func $00C7A6  base $00C73A  kind=static_target
$00C9B0  in func $00C94C  base $00C73A  kind=static_target
$00CAB4  in func $00CA88  base $00C73A  kind=static_target
$00CB82  in func $00CB56  base $00C73A  kind=static_target
$00CC8A  in func $00CC5E  base $00C73A  kind=static_target
$00CD42  in func $00CD16  base $00C73A  kind=static_target
$00CF76  in func $00CF56  base $00C73A  kind=static_target
$00D0E6  in func $00D0BA  base $00C73A  kind=static_target
$00D8C6  in func $00D89A  base $00C73A  kind=static_target
$00DE3A  in func $00DD84  base $00EB84  kind=static_target
$00DE48  in func $00DE48  base $010D24  kind=static_target
$00DE7A  in func $00DE4E  base $00C73A  kind=static_target
$00DFCE  in func $00DFA2  base $00C73A  kind=static_target
$00E124  in func $00E0F8  base $00C73A  kind=static_target
$00E25A  in func $00E22E  base $00C73A  kind=static_target
$00E3A8  in func $00E37C  base $00C73A  kind=static_target
$00E476  in func $00E44A  base $00C73A  kind=static_target
$00E558  in func $00E52C  base $00C73A  kind=static_target
$00E5EC  in func $00E5C0  base $00C73A  kind=static_target
$00E6D0  in func $00E6A4  base $00C73A  kind=static_target
$00E7AA  in func $00E79C  base $00F55C  kind=static_target
$00F7BA  in func $00F78A  base $00F7BE  kind=fallback_hybrid/offset_table
$00F802  in func $00F7D2  base $00F806  kind=fallback_hybrid/offset_table
$00FA1C  in func $00FA10  base $005EF0  kind=static_target
$00FA26  in func $00FA10  base $005EF0  kind=static_target
$00FF28  in func $00FF02  base $00FF2C  kind=fallback_hybrid/offset_table
$00FF84  in func $00FF84  base $00E868  kind=static_target
$00FFA6  in func $00FF9C  base $00FFAA  kind=fallback_hybrid/offset_table
$010006  in func $010006  base $00ECFC  kind=static_target
$0106B8  in func $0106A6  base $010A2C  kind=static_target
$0107E4  in func $0107DE  base $0124D8  kind=static_target
$0107F0  in func $0107EA  base $0124D8  kind=static_target
$01089A  in func $010870  base $011CE4  kind=static_target
$0108DA  in func $0108C0  base $010B38  kind=static_target
$010934  in func $01091A  base $010B38  kind=static_target
$010954  in func $01093A  base $010B38  kind=static_target
$010D2E  in func $010D24  base $010D32  kind=in_function_switch targets=16
$011A8A  in func $011A7E  base $011A8E  kind=in_function_switch targets=32
$011B64  in func $011B58  base $011B68  kind=in_function_switch targets=32
$011C34  in func $011C28  base $011C38  kind=in_function_switch targets=32
$011D98  in func $011D8C  base $012034  kind=static_target
$011DA2  in func $011D8C  base $012034  kind=static_target
$012052  in func $012046  base $012056  kind=fallback_hybrid/offset_table
$012378  in func $012364  base $01237C  kind=fallback_hybrid/offset_table
