detector,source_pc,logical_source_pc,base,index,target,bound,region,runtime_observed,inside_existing_function,instruction_boundary,classification,would_make_function,would_create_interior_label,would_defer
JMP_PC_INDEX_WORD,00054C,00054C,000550,0,0007EA,none,ROM,1,1,1,ObservedInteriorEntry,0,1,0
JMP_PC_INDEX_WORD,00054C,00054C,000550,1,000884,none,ROM,1,1,1,ObservedInteriorEntry,0,1,0
JMP_PC_INDEX_WORD,00054C,00054C,000550,2,000A3E,none,ROM,1,1,1,ObservedInteriorEntry,0,1,0
JMP_PC_INDEX_WORD,00054C,00054C,000550,3,000A8E,none,ROM,0,1,1,StaticInteriorEntry,0,1,0
JMP_PC_INDEX_WORD,00054C,00054C,000550,4,000ADE,none,ROM,0,1,1,StaticInteriorEntry,0,1,0
JMP_PC_INDEX_WORD,00054C,00054C,000550,5,000AEE,none,ROM,0,1,1,StaticInteriorEntry,0,1,0
JMP_PC_INDEX_WORD,00054C,00054C,000550,6,000B00,none,ROM,1,1,1,ObservedInteriorEntry,0,1,0
JMP_PC_INDEX_WORD,00054C,00054C,000550,7,000B8C,none,ROM,1,1,1,ObservedInteriorEntry,0,1,0
JMP_PC_INDEX_WORD,00054C,00054C,000550,8,000636,none,ROM,1,1,1,ObservedInteriorEntry,0,1,0
JMP_PC_INDEX_WORD,00054C,00054C,000550,9,0005B4,none,ROM,1,1,1,ObservedInteriorEntry,0,1,0
JMP_PC_INDEX_WORD,00054C,00054C,000550,10,000566,none,ROM,0,1,1,StaticInteriorEntry,0,1,0
JMP_PC_INDEX_WORD,004C02,004C02,004C06,0,004BF6,none,ROM,1,1,1,ObservedInteriorEntry,0,1,0
JMP_PC_INDEX_WORD,004C02,004C02,004C06,1,004C34,none,ROM,1,1,1,ObservedInteriorEntry,0,1,0
JMP_PC_INDEX_WORD,004C02,004C02,004C06,2,004CFA,none,ROM,1,1,1,ObservedInteriorEntry,0,1,0
JMP_PC_INDEX_WORD,004C02,004C02,004C06,3,004CFA,none,ROM,1,1,1,ObservedInteriorEntry,0,1,0
JMP_PC_INDEX_WORD,004C02,004C02,004C06,4,004CFA,none,ROM,1,1,1,ObservedInteriorEntry,0,1,0
JMP_PC_INDEX_WORD,004C02,004C02,004C06,5,004C34,none,ROM,1,1,1,ObservedInteriorEntry,0,1,0
JMP_PC_INDEX_WORD,004C02,004C02,004C06,6,004C34,none,ROM,1,1,1,ObservedInteriorEntry,0,1,0
JMP_PC_INDEX_WORD,004C02,004C02,004C06,7,004F4A,none,ROM,0,1,1,StaticInteriorEntry,0,1,0
JMP_PC_INDEX_WORD,004C02,004C02,004C06,8,004FBA,none,ROM,0,1,1,StaticInteriorEntry,0,1,0
JMP_PC_INDEX_WORD,004C02,004C02,004C06,9,004C34,none,ROM,1,1,1,ObservedInteriorEntry,0,1,0
JMP_PC_INDEX_WORD,004C02,004C02,004C06,10,004C34,none,ROM,1,1,1,ObservedInteriorEntry,0,1,0
JMP_PC_INDEX_WORD,004C02,004C02,004C06,11,00503A,none,ROM,0,1,1,StaticInteriorEntry,0,1,0
JMP_PC_INDEX_WORD,004C02,004C02,004C06,12,00503A,none,ROM,0,1,1,StaticInteriorEntry,0,1,0
