# JMP-table dispatch audit
# total sites: 3540
#
# Summary:
#   static_target           3347  (JMP with statically resolved target — safe)
#   in_function_switch         0  (JMP(PC,Dn.W) compiled to in-function switch+goto — safe, this is the Duff's-device fix)
#   dynamic_register          37  (JMP (An)/(d,An)/(An,Xn) — runtime address from register, safe via call_by_address)
#   fallback_hybrid                — JMP(PC,Dn.W) routed through hybrid_jmp_interpret; subdivided:
#     function_entry          71    (base IS a registered function — call_by_address resolves it directly)
#     bra_w_trampoline         0    (base opcode = 0x6000; runtime miss feedback works)
#     offset_table            84    (base is a dc.w (target-base) table; 1+ entries decode to functions — runtime resolves it)
#     INTERIOR_UNRESOLVED      1    (DANGER: base is interior to a function, NOT one of the safe patterns above — silent failure class like pre-fix CPZ)
#     external_unresolved      0    (base outside any known function — investigate)
#   unsupported                0  (decoder hit a JMP mode the emitter doesn't handle)
#
# When `interior_unresolved` is non-zero, inspect each site — these are
# Sonic-2-CPZ-style silent-failure candidates. Either the recompiler's
# Duff's-device probe (probe_pc_idx_targets) didn't match, or the table
# really is a new pattern that needs new codegen support.
#
# Format: <jmp_addr>  in func <func>  base <base>  kind=<kind>[ targets=N]

$0003BA  in func $0003AC  base $300000  kind=static_target
$0007B4  in func $000780  base $001BF0  kind=static_target
$00094C  in func $00088C  base $001BF0  kind=static_target
$000954  in func $00088C  base $001BF0  kind=static_target
$000A82  in func $000978  base $001BF0  kind=static_target
$000BFA  in func $000B5C  base $001BF0  kind=static_target
$000C1A  in func $000C00  base $001BF0  kind=static_target
$000C38  in func $000C20  base $001BF0  kind=static_target
$000C4A  in func $000C3E  base $001BF0  kind=static_target
$000D0C  in func $000D0C  base $FFFFFFF6  kind=static_target
$001644  in func $00163C  base $000000  kind=dynamic_register
$0018FA  in func $0018D4  base $00194A  kind=fallback_hybrid/function_entry
$001BD0  in func $001B28  base $001AEA  kind=static_target
$002156  in func $002142  base $00215C  kind=fallback_hybrid/offset_table
$003BDC  in func $003BDC  base $002142  kind=static_target
$0048FE  in func $0048F2  base $01ABC6  kind=static_target
$004962  in func $00495C  base $01ABC6  kind=static_target
$0049A8  in func $00499C  base $01ABC6  kind=static_target
$004A56  in func $004A56  base $01ABC6  kind=static_target
$004ADE  in func $004ADE  base $01ABC6  kind=static_target
$004B2E  in func $004B16  base $01ABC6  kind=static_target
$004B9E  in func $004B86  base $01ABC6  kind=static_target
$004C3E  in func $004C3E  base $01ABC6  kind=static_target
$0056AA  in func $0056AA  base $01ABC6  kind=static_target
$0057D2  in func $0057D2  base $01ABC6  kind=static_target
$005850  in func $005848  base $01ABC6  kind=static_target
$0058A2  in func $00589A  base $01ABC6  kind=static_target
$00596C  in func $00596C  base $01ABC6  kind=static_target
$005C0A  in func $005BF6  base $01ABC6  kind=static_target
$005C54  in func $005C42  base $01ABC6  kind=static_target
$005CA8  in func $005CA2  base $01ABC6  kind=static_target
$005CE2  in func $005CE2  base $01ABC6  kind=static_target
$006E7C  in func $006E76  base $01ABB6  kind=static_target
$008E2A  in func $008E2A  base $01ABC6  kind=static_target
$008E9E  in func $008E94  base $01ABC6  kind=static_target
$008EE6  in func $008EDE  base $01ABC6  kind=static_target
$008F1E  in func $008F16  base $01ABC6  kind=static_target
$008F2E  in func $008F24  base $01ABC6  kind=static_target
$008F58  in func $008F50  base $01ABC6  kind=static_target
$009878  in func $00984C  base $001358  kind=static_target
$009C56  in func $009C52  base $001AD2  kind=static_target
$00AA24  in func $00A9E8  base $00AA28  kind=fallback_hybrid/function_entry
$00AAA0  in func $00AA98  base $001380  kind=static_target
$00AAFA  in func $00AAFA  base $01ABC6  kind=static_target
$00AB40  in func $00AB34  base $01ABC6  kind=static_target
$00AF50  in func $00AF24  base $01ABC6  kind=static_target
$00B028  in func $00B006  base $00C04C  kind=static_target
$00B032  in func $00B02E  base $00C04C  kind=static_target
$00B0BC  in func $00B0A6  base $0014E6  kind=static_target
$00B502  in func $00B4F6  base $01ABC6  kind=static_target
$00B648  in func $00B638  base $01ABC6  kind=static_target
$00B6A0  in func $00B66E  base $01ABC6  kind=static_target
