# JMP-table dispatch audit
# total sites: 1910
#
# Summary:
#   static_target           1795  (JMP with statically resolved target — safe)
#   in_function_switch         0  (JMP(PC,Dn.W) compiled to in-function switch+goto — safe, this is the Duff's-device fix)
#   dynamic_register          19  (JMP (An)/(d,An)/(An,Xn) — runtime address from register, safe via call_by_address)
#   fallback_hybrid                — JMP(PC,Dn.W) routed through hybrid_jmp_interpret; subdivided:
#     function_entry          28    (base IS a registered function — call_by_address resolves it directly)
#     bra_w_trampoline         0    (base opcode = 0x6000; runtime miss feedback works)
#     offset_table            67    (base is a dc.w (target-base) table; 1+ entries decode to functions — runtime resolves it)
#     INTERIOR_UNRESOLVED      1    (DANGER: base is interior to a function, NOT one of the safe patterns above — silent failure class like pre-fix CPZ)
#     external_unresolved      0    (base outside any known function — investigate)
#   unsupported                0  (decoder hit a JMP mode the emitter doesn't handle)
#
# When `interior_unresolved` is non-zero, inspect each site — these are
# Sonic-2-CPZ-style silent-failure candidates. Either the recompiler's
# Duff's-device probe (probe_pc_idx_targets) didn't match, or the table
# really is a new pattern that needs new codegen support.
#
# Format: <jmp_addr>  in func <func>  base <base>  kind=<kind>[ targets=N]

$000BE2  in func $000AB4  base $001E7A  kind=static_target
$000BEA  in func $000AB4  base $001E7A  kind=static_target
$000D1E  in func $000C0E  base $001E7A  kind=static_target
$000EA8  in func $000EA0  base $001E7A  kind=static_target
$000EC6  in func $000EC6  base $001E7A  kind=static_target
$000ED8  in func $000ECC  base $001E7A  kind=static_target
$000F9E  in func $000F9E  base $FFFFF608  kind=static_target
$0018CE  in func $0018C6  base $000000  kind=dynamic_register
$001B84  in func $001B78  base $001BD4  kind=fallback_hybrid/function_entry
$001E5A  in func $001DF4  base $001D74  kind=static_target
$0023DE  in func $0023CA  base $0023E4  kind=fallback_hybrid/offset_table
$003338  in func $003338  base $0023CA  kind=static_target
$003FCE  in func $003FC2  base $01924C  kind=static_target
$00402C  in func $00402C  base $01924C  kind=static_target
$0040B2  in func $0040B2  base $01924C  kind=static_target
$00413A  in func $00413A  base $01924C  kind=static_target
$00417E  in func $004172  base $01924C  kind=static_target
$0041E2  in func $0041D6  base $01924C  kind=static_target
$004278  in func $00426C  base $01924C  kind=static_target
$005316  in func $005310  base $01923C  kind=static_target
$007DA2  in func $007DA2  base $01924C  kind=static_target
$007E16  in func $007E0C  base $01924C  kind=static_target
$007E58  in func $007E50  base $01924C  kind=static_target
$007E90  in func $007E88  base $01924C  kind=static_target
$007EA0  in func $007E96  base $01924C  kind=static_target
$007ECA  in func $007EC2  base $01924C  kind=static_target
$0083DE  in func $0083DE  base $01924C  kind=static_target
$0086F8  in func $0086D4  base $0015E2  kind=static_target
$008AB0  in func $008A32  base $001D5C  kind=static_target
$0096F4  in func $0096B8  base $0096F8  kind=fallback_hybrid/function_entry
$009770  in func $009768  base $00160A  kind=static_target
$0097CA  in func $0097CA  base $01924C  kind=static_target
$009810  in func $009804  base $01924C  kind=static_target
$009DBA  in func $009D8E  base $01924C  kind=static_target
$009E8E  in func $009E6C  base $00B534  kind=static_target
$009E98  in func $009E94  base $00B534  kind=static_target
$009F20  in func $009F0A  base $001770  kind=static_target
$00A398  in func $00A38C  base $01924C  kind=static_target
$00A4DE  in func $00A4CE  base $01924C  kind=static_target
$00A536  in func $00A504  base $01924C  kind=static_target
$00A556  in func $00A53C  base $01924C  kind=static_target
$00AC06  in func $00AC02  base $00A38C  kind=static_target
$00B264  in func $00B264  base $01924C  kind=static_target
$00B854  in func $00B83C  base $00B7BE  kind=static_target
$00BADA  in func $00BAD0  base $00160A  kind=static_target
$00C1B6  in func $00C1AA  base $01924C  kind=static_target
$00C21E  in func $00C1BE  base $01924C  kind=static_target
$00C404  in func $00C3F4  base $01924C  kind=static_target
$00C470  in func $00C40A  base $01924C  kind=static_target
$00C4C6  in func $00C4C6  base $01924C  kind=static_target
$00C566  in func $00C55E  base $01924C  kind=static_target
$00C572  in func $00C56C  base $00C576  kind=fallback_hybrid/function_entry
$00C636  in func $00C624  base $01924C  kind=static_target
$00C6A6  in func $00C6A6  base $01924C  kind=static_target
$00C6E8  in func $00C6E8  base $01924C  kind=static_target
$00E928  in func $00E90E  base $0195F6  kind=static_target
$00EA7A  in func $00EA46  base $0015E2  kind=static_target
$00F5FC  in func $00F5F2  base $00F600  kind=fallback_hybrid/offset_table
$00F79C  in func $00F798  base $018D7E  kind=static_target
$00F8D4  in func $00F8CA  base $00F8D8  kind=fallback_hybrid/offset_table
$00FA78  in func $00FA72  base $00FA88  kind=fallback_hybrid/offset_table
$00FD22  in func $00FD08  base $00160A  kind=static_target
$011710  in func $01170A  base $05B564  kind=static_target
$01173C  in func $011732  base $011740  kind=fallback_hybrid/offset_table
$011C02  in func $011BFE  base $01924C  kind=static_target
$011C08  in func $011C08  base $05B564  kind=static_target
$011C18  in func $011C0E  base $011C1C  kind=fallback_hybrid/offset_table
$011E50  in func $011E48  base $00164C  kind=static_target
$011FB2  in func $011F94  base $00160A  kind=static_target
$012038  in func $012034  base $00160A  kind=static_target
$012798  in func $012798  base $01156E  kind=static_target
$01299A  in func $01297E  base $00160A  kind=static_target
$0129C2  in func $0129A0  base $00160A  kind=static_target
$0129F2  in func $0129C8  base $00160A  kind=static_target
$012A26  in func $012A0E  base $00160A  kind=static_target
$012A8C  in func $012A2E  base $0015E2  kind=static_target
$013148  in func $0130DE  base $00160A  kind=static_target
$0131A2  in func $013192  base $01924C  kind=static_target
$013204  in func $013204  base $01156E  kind=static_target
$013236  in func $013224  base $01924C  kind=static_target
$0132F6  in func $0132DC  base $0019D0  kind=static_target
$01340A  in func $013406  base $01924C  kind=static_target
$01343E  in func $01342A  base $01924C  kind=static_target
$013E8C  in func $013E86  base $05B564  kind=static_target
$013EB8  in func $013EAE  base $013EBC  kind=fallback_hybrid/offset_table
$014404  in func $014400  base $01924C  kind=static_target
$01440A  in func $01440A  base $05B564  kind=static_target
$01441A  in func $014410  base $01441E  kind=fallback_hybrid/offset_table
$0146BE  in func $014682  base $00164C  kind=static_target
$014706  in func $0146FA  base $01470A  kind=fallback_hybrid/offset_table
$0152FC  in func $0152E4  base $00160A  kind=static_target
$015372  in func $01536E  base $00160A  kind=static_target
$015B00  in func $015B00  base $01156E  kind=static_target
$016268  in func $016258  base $01924C  kind=static_target
$0162CA  in func $0162CA  base $01156E  kind=static_target
$0162FA  in func $0162E8  base $01924C  kind=static_target
$01632A  in func $016326  base $01924C  kind=static_target
$01635C  in func $016348  base $01924C  kind=static_target
$016C22  in func $016C14  base $01924C  kind=static_target
$016D5E  in func $016D50  base $01924C  kind=static_target
$016F12  in func $016F08  base $016F16  kind=fallback_hybrid/offset_table
$016FEC  in func $016FBC  base $01924C  kind=static_target
$016FF2  in func $016FF2  base $01923C  kind=static_target
$01700A  in func $016FF8  base $01924C  kind=static_target
$017010  in func $017010  base $01923C  kind=static_target
$01704A  in func $017034  base $01924C  kind=static_target
$017050  in func $017050  base $01923C  kind=static_target
$017070  in func $017056  base $01924C  kind=static_target
$0174FC  in func $0174F2  base $017500  kind=fallback_hybrid/offset_table
$01756C  in func $017560  base $01924C  kind=static_target
$017574  in func $017574  base $01923C  kind=static_target
$0178D4  in func $0178CA  base $0178D8  kind=fallback_hybrid/offset_table
$017946  in func $017936  base $01794A  kind=fallback_hybrid/offset_table
$0179A6  in func $017990  base $01924C  kind=static_target
$017A1A  in func $017A0A  base $01924C  kind=static_target
$017CE8  in func $017CDE  base $017CEC  kind=fallback_hybrid/offset_table
$017D3A  in func $017D2A  base $017D3E  kind=fallback_hybrid/offset_table
$017DAA  in func $017D9E  base $01924C  kind=static_target
$017F52  in func $017F52  base $01924C  kind=static_target
$017F88  in func $017F88  base $01923C  kind=static_target
$01801E  in func $018018  base $01923C  kind=static_target
$01815E  in func $0180FC  base $01924C  kind=static_target
$01823C  in func $0181C2  base $01924C  kind=static_target
$018364  in func $018340  base $01924C  kind=static_target
$018438  in func $01841A  base $01924C  kind=static_target
$01843E  in func $01843E  base $01923C  kind=static_target
$01851E  in func $0184C8  base $01924C  kind=static_target
$018D0C  in func $018D02  base $018D10  kind=fallback_hybrid/offset_table
$018DCA  in func $018DC0  base $0015E2  kind=static_target
$018DD0  in func $018DD0  base $00160A  kind=static_target
$018E26  in func $018E20  base $0015E2  kind=static_target
$018E2C  in func $018E2C  base $00160A  kind=static_target
$018E3C  in func $018E32  base $018E40  kind=fallback_hybrid/offset_table
