# JMP-table dispatch audit
# total sites: 292
#
# Summary:
#   static_target            155  (JMP with statically resolved target — safe)
#   in_function_switch         2  (JMP(PC,Dn.W) compiled to in-function switch+goto — safe, this is the Duff's-device fix)
#   dynamic_register           1  (JMP (An)/(d,An)/(An,Xn) — runtime address from register, safe via call_by_address)
#   fallback_hybrid                — JMP(PC,Dn.W) routed through hybrid_jmp_interpret; subdivided:
#     function_entry           4    (base IS a registered function — call_by_address resolves it directly)
#     bra_w_trampoline         0    (base opcode = 0x6000; runtime miss feedback works)
#     offset_table           130    (base is a dc.w (target-base) table; 1+ entries decode to functions — runtime resolves it)
#     INTERIOR_UNRESOLVED      0    (DANGER: base is interior to a function, NOT one of the safe patterns above — silent failure class like pre-fix CPZ)
#     external_unresolved      0    (base outside any known function — investigate)
#   unsupported                0  (decoder hit a JMP mode the emitter doesn't handle)
#
# When `interior_unresolved` is non-zero, inspect each site — these are
# Sonic-2-CPZ-style silent-failure candidates. Either the recompiler's
# Duff's-device probe (probe_pc_idx_targets) didn't match, or the table
# really is a new pattern that needs new codegen support.
#
# Format: <jmp_addr>  in func <func>  base <base>  kind=<kind>[ targets=N]

$0014CA  in func $0014C2  base $000000  kind=dynamic_register
$001764  in func $00173E  base $0017B4  kind=fallback_hybrid/function_entry
$00194A  in func $00193C  base $00194E  kind=fallback_hybrid/offset_table
$004E4C  in func $004E42  base $004E50  kind=fallback_hybrid/offset_table
$004E88  in func $004E88  base $00D604  kind=static_target
$004EBE  in func $004EAC  base $00D640  kind=static_target
$004F50  in func $004F50  base $00D604  kind=static_target
$004F56  in func $004F56  base $00D640  kind=static_target
$004F6A  in func $004F5C  base $00D604  kind=static_target
$004FE0  in func $004FD4  base $013C3E  kind=static_target
$004FF2  in func $004FE6  base $00A718  kind=static_target
$005042  in func $005036  base $013C3E  kind=static_target
$0053F0  in func $0053E2  base $00D604  kind=static_target
$0054D2  in func $0054CC  base $00A718  kind=static_target
$00554A  in func $00553C  base $00D604  kind=static_target
$005620  in func $005616  base $005624  kind=fallback_hybrid/offset_table
$0059F0  in func $0059E2  base $00D604  kind=static_target
$005A54  in func $005A4E  base $00A718  kind=static_target
$005AD0  in func $005AC2  base $00D604  kind=static_target
$006212  in func $0061EC  base $006216  kind=fallback_hybrid/offset_table
$0062DA  in func $006286  base $0062DE  kind=fallback_hybrid/offset_table
$00647C  in func $00642E  base $006482  kind=fallback_hybrid/function_entry
$006DEA  in func $006DDE  base $006DEE  kind=fallback_hybrid/offset_table
$006E46  in func $006E3C  base $006E4A  kind=fallback_hybrid/offset_table
$006EFE  in func $006EF2  base $006F02  kind=fallback_hybrid/offset_table
$006F9A  in func $006F8E  base $006F9E  kind=fallback_hybrid/offset_table
$006FAE  in func $006FA4  base $006FB2  kind=fallback_hybrid/offset_table
$007094  in func $00708A  base $007098  kind=fallback_hybrid/offset_table
$0070FE  in func $0070F2  base $007102  kind=fallback_hybrid/offset_table
$007114  in func $00710A  base $007118  kind=fallback_hybrid/offset_table
$007174  in func $007168  base $007178  kind=fallback_hybrid/offset_table
$0071AE  in func $0071A4  base $0071B2  kind=fallback_hybrid/offset_table
$007216  in func $00720A  base $00721A  kind=fallback_hybrid/offset_table
$00724E  in func $007244  base $007252  kind=fallback_hybrid/offset_table
$0072D4  in func $0072CA  base $0072D8  kind=fallback_hybrid/offset_table
$007332  in func $007328  base $007336  kind=fallback_hybrid/offset_table
$00795C  in func $007952  base $007960  kind=fallback_hybrid/offset_table
$007CAC  in func $007CA2  base $007CB0  kind=fallback_hybrid/offset_table
$007E3C  in func $007E32  base $007E40  kind=fallback_hybrid/offset_table
$007F56  in func $007F46  base $007F5A  kind=fallback_hybrid/offset_table
$00821A  in func $008210  base $00821E  kind=fallback_hybrid/offset_table
$00832A  in func $008320  base $00832E  kind=fallback_hybrid/offset_table
$0084FA  in func $008486  base $00139C  kind=static_target
$0087D4  in func $0087CA  base $0087D8  kind=fallback_hybrid/offset_table
$008868  in func $00885E  base $00886C  kind=fallback_hybrid/offset_table
$00893E  in func $008934  base $008942  kind=fallback_hybrid/offset_table
$008B56  in func $008B4C  base $008B5A  kind=fallback_hybrid/offset_table
$008C26  in func $008C1C  base $008C2A  kind=fallback_hybrid/offset_table
$008CFC  in func $008CF2  base $008D00  kind=fallback_hybrid/offset_table
$008D6C  in func $008D62  base $008D70  kind=fallback_hybrid/offset_table
$008E00  in func $008DF6  base $008E04  kind=fallback_hybrid/offset_table
$008E42  in func $008E08  base $00139C  kind=static_target
$008F2C  in func $008F22  base $008F30  kind=fallback_hybrid/offset_table
$0094FA  in func $0094F0  base $0094FE  kind=fallback_hybrid/offset_table
$0097E8  in func $0097DE  base $0097EC  kind=fallback_hybrid/offset_table
$00993C  in func $009932  base $009940  kind=fallback_hybrid/offset_table
$009B30  in func $009B26  base $009B34  kind=fallback_hybrid/offset_table
$009CB0  in func $009C76  base $00139C  kind=static_target
$009CC0  in func $009CB6  base $009CC4  kind=fallback_hybrid/offset_table
$009E10  in func $009E06  base $009E14  kind=fallback_hybrid/offset_table
$009EE0  in func $009ED6  base $009EE4  kind=fallback_hybrid/offset_table
$00A122  in func $00A118  base $00A126  kind=fallback_hybrid/offset_table
$00A396  in func $00A38A  base $001396  kind=static_target
$00A3C4  in func $00A39C  base $001396  kind=static_target
$00A3E0  in func $00A3CA  base $001396  kind=static_target
$00A432  in func $00A3E6  base $001396  kind=static_target
$00A474  in func $00A470  base $001396  kind=static_target
$00A626  in func $00A61C  base $00A62A  kind=fallback_hybrid/offset_table
$00ABE4  in func $00ABDA  base $00ABE8  kind=fallback_hybrid/offset_table
$00ACAE  in func $00ACA4  base $00ACB2  kind=fallback_hybrid/offset_table
$00AEC2  in func $00AEB8  base $00AEC6  kind=fallback_hybrid/offset_table
$00AFAE  in func $00AF9E  base $00AFB2  kind=fallback_hybrid/offset_table
$00B1E6  in func $00B1DC  base $00B1EA  kind=fallback_hybrid/offset_table
$00B4EE  in func $00B4DE  base $00B4F2  kind=fallback_hybrid/offset_table
$00B686  in func $00B67C  base $00B68A  kind=fallback_hybrid/offset_table
$00B842  in func $00B834  base $00B846  kind=fallback_hybrid/offset_table
$00B9A4  in func $00B99A  base $00B9A8  kind=fallback_hybrid/offset_table
$00BAD2  in func $00BAC6  base $00BAD6  kind=fallback_hybrid/offset_table
$00BD38  in func $00BD2E  base $00BD3C  kind=fallback_hybrid/offset_table
$00BEDC  in func $00BED2  base $00BEE0  kind=fallback_hybrid/offset_table
$00C310  in func $00C306  base $00C314  kind=fallback_hybrid/offset_table
$00C4C2  in func $00C4B8  base $00C4C6  kind=fallback_hybrid/offset_table
$00C57C  in func $00C572  base $00C580  kind=fallback_hybrid/offset_table
$00C6A8  in func $00C694  base $00139C  kind=static_target
$00C760  in func $00C74A  base $001396  kind=static_target
$00C7B8  in func $00C7AE  base $00C7BC  kind=fallback_hybrid/offset_table
$00C8BE  in func $00C892  base $00139C  kind=static_target
$00C960  in func $00C956  base $00C964  kind=fallback_hybrid/offset_table
$00CE32  in func $00CE28  base $00CE36  kind=fallback_hybrid/offset_table
$00CF52  in func $00CF46  base $00CF56  kind=fallback_hybrid/offset_table
$00D05A  in func $00D050  base $00D05E  kind=fallback_hybrid/offset_table
$00D0C8  in func $00D0BE  base $00D0CC  kind=fallback_hybrid/offset_table
$00D270  in func $00D1EE  base $00139C  kind=static_target
$00D8E4  in func $00D8DA  base $00D8E8  kind=fallback_hybrid/offset_table
$00DD72  in func $00DD68  base $00DD76  kind=fallback_hybrid/offset_table
$00E004  in func $00DFFA  base $00E008  kind=fallback_hybrid/offset_table
$00E1DE  in func $00E1D4  base $00E1E2  kind=fallback_hybrid/offset_table
$00E4EA  in func $00E4E0  base $00E4EE  kind=fallback_hybrid/offset_table
$00E7DA  in func $00E7D0  base $00E7DE  kind=fallback_hybrid/offset_table
$00E916  in func $00E90C  base $00E91A  kind=fallback_hybrid/offset_table
$00E9DA  in func $00E9D0  base $00E9DE  kind=fallback_hybrid/offset_table
$00F068  in func $00F05E  base $00F06C  kind=fallback_hybrid/offset_table
